CR03,CR05,CR06,CR08,CR09,CR10,CR15,CR20,CR25,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR91,CR93,CR94,metric,serial_number,supplier,part_number,measurement_date,measurement_time,piece_folder
0.127497,0.157241,0.158818,0.143342,0.150450,0.137198,0.144898,0.162896,0.138875,0.137199,0.093902,0.071605,0.081354,0.035576,0.023419,0.032468,-0.014290,0.032636,0.059287,0.074175,0.132403,0.145543,0.172392,0.171475,0.034454,0.090781,0.098992,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.126962,0.134591,0.140830,0.137493,0.143194,0.145443,0.159219,0.168828,0.155358,0.153317,0.121140,0.085774,0.076228,0.050947,0.037627,0.029320,0.034250,0.050796,0.068738,0.070088,0.096253,0.124072,0.146260,0.124768,0.064089,0.061197,0.109221,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.125687,0.124984,0.131949,0.135465,0.147478,0.144453,0.163106,0.176884,0.164658,0.172447,0.133707,0.083918,0.084533,0.050621,0.034060,0.017211,0.025421,0.049537,0.085687,0.087684,0.078445,0.093300,0.097243,0.101743,0.067053,0.108214,0.105389,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.128524,0.115083,0.150993,0.139050,0.140514,0.141522,0.160906,0.164215,0.164899,0.164946,0.132627,0.098742,0.094635,0.056343,0.041577,0.045178,0.033845,0.065870,0.089933,0.088942,0.077447,0.085093,0.078007,0.092175,0.074736,0.089317,0.081081,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.126703,0.123223,0.141882,0.127698,0.146490,0.138040,0.158668,0.160472,0.170894,0.161601,0.130076,0.086232,0.089199,0.055121,0.042434,0.044631,0.043109,0.069233,0.097428,0.098734,0.065586,0.088688,0.071882,0.073731,0.080052,0.086479,0.100905,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.125600,0.124199,0.137524,0.133475,0.145957,0.132125,0.161668,0.159392,0.167790,0.167554,0.124698,0.092152,0.068356,0.053660,0.039241,0.051756,0.042906,0.058932,0.092038,0.102440,0.068679,0.086463,0.076923,0.076464,0.072937,0.089756,0.080813,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.117221,0.123964,0.133888,0.124860,0.137932,0.139618,0.154651,0.153596,0.166304,0.151556,0.120275,0.087144,0.076560,0.050010,0.034279,0.050966,0.049742,0.065023,0.091906,0.112517,0.073668,0.090812,0.073233,0.068929,0.072054,0.072293,0.082738,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.135062,0.123769,0.140212,0.123600,0.142884,0.129049,0.148928,0.152328,0.153215,0.149360,0.116289,0.080643,-0.070729,0.050713,0.040620,0.058220,0.050998,0.073711,0.101055,0.091632,0.072890,0.094826,0.074002,0.068799,0.066309,0.071277,0.070101,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.134934,0.127375,-0.023088,0.126940,0.132445,0.127973,0.146146,0.141167,0.148097,0.147317,0.114257,0.078146,0.074679,0.043698,0.035252,0.051401,0.049122,0.074557,0.097904,0.082788,0.064304,0.084950,0.068645,0.061148,0.067798,0.062899,0.066234,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.141401,0.134741,0.144117,0.124568,0.121979,0.137021,0.148258,0.148423,0.143087,0.135947,0.109932,0.066143,-0.038871,0.038949,0.024986,0.052002,0.048140,0.062890,0.093895,0.084151,0.059950,0.080680,0.065838,0.069957,0.061269,0.060024,0.062983,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.138167,0.125274,0.140091,0.131606,0.120054,0.133475,0.151242,0.157751,0.146440,0.133365,0.104767,0.068123,0.058922,0.033347,0.024168,0.051080,0.053014,0.077272,0.089795,0.071544,0.054283,0.079278,0.068703,0.070172,0.052511,0.061590,0.051697,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.141007,0.136292,0.142733,0.126129,0.115405,0.125120,0.156796,0.157212,0.146911,0.140739,0.102642,0.059656,0.059049,0.033539,0.026445,0.050938,0.054051,0.067105,0.099783,0.054039,0.040165,0.079142,0.068835,0.071203,0.053296,0.057040,0.014438,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.146897,0.132471,0.147830,0.132866,0.120831,0.127347,0.153891,0.150915,0.142040,0.139084,0.096719,0.048590,0.056540,0.026950,0.023564,0.050314,0.050414,0.067828,0.094254,0.048664,0.036669,0.075653,0.068207,0.064387,0.057007,0.057177,0.052328,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.147444,0.140494,0.142774,0.132100,0.116217,0.126854,0.152488,0.151555,0.142607,0.140258,0.081460,0.055725,0.048420,0.024620,0.025044,0.044339,0.043298,0.066618,0.081486,0.061007,0.038537,0.070904,0.069414,0.066931,0.055170,0.056159,0.030845,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.149795,0.140950,0.143038,0.128710,0.109552,0.125475,0.156737,0.158466,0.138268,0.126906,0.094072,0.047238,0.044975,0.020528,0.015151,0.039751,0.033690,0.061063,0.099951,0.047871,0.035426,0.069853,0.071346,0.069770,0.050170,0.058209,0.026018,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.160015,0.146794,0.146310,0.130764,0.126347,0.123057,0.152583,0.154599,0.141343,0.133006,0.092089,0.048702,0.033193,0.016194,0.018835,0.036714,0.035963,0.064122,0.062293,0.043017,-0.071537,0.068884,0.069657,0.067680,0.047438,0.050543,0.036185,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.162083,0.146876,0.147101,0.125416,0.123607,0.130254,0.153950,0.156122,0.142641,0.126419,0.063930,0.040630,0.033842,0.006111,0.017471,0.032029,0.025992,0.053321,0.057427,0.042014,-0.041874,0.074443,0.074911,0.065723,0.037614,0.045749,0.022327,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.170656,0.146378,0.151670,0.129485,0.122637,0.128809,0.154336,0.155896,0.142498,0.125206,0.088083,0.038526,0.030388,-0.036764,0.003293,0.026862,0.018920,0.054329,0.052837,0.035283,0.017717,0.069349,0.067134,0.064971,0.047598,0.046785,0.027678,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.172033,0.149324,0.148454,0.128396,0.124540,0.128603,0.149188,0.160422,0.141554,0.106390,0.083548,0.038984,0.014360,0.000344,0.016506,0.020717,0.012555,0.053126,0.053980,0.029192,0.019859,0.074202,0.072335,0.061713,0.041411,0.050801,0.011489,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.173225,0.144404,0.144610,0.110157,0.121928,0.116780,0.151842,0.154845,0.142014,0.109779,0.079669,0.034527,0.020800,-0.004330,0.005406,0.013916,0.013306,0.041486,0.042858,0.021845,0.015397,0.074058,0.075809,0.066692,0.043418,0.053357,0.015912,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.172687,0.147855,0.134820,0.125371,0.119550,0.117321,0.140421,0.155318,0.119860,0.099445,0.072494,0.033088,-0.048477,-0.003208,0.002385,0.011189,0.016157,0.013606,0.036578,0.019809,0.011174,0.078061,0.080642,0.066340,0.034366,0.036163,0.011112,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.171530,0.146093,0.140859,0.085288,0.114834,0.111784,0.133419,0.153636,0.123251,0.094480,0.065841,0.010388,0.008234,-0.017642,-0.002780,0.004822,0.010394,-0.045064,0.027440,0.010114,0.020112,0.082039,0.079755,0.060429,0.040004,-0.129101,0.000456,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.176328,0.145904,0.136802,0.117451,0.111932,0.107510,0.141454,0.155920,0.106374,0.089719,0.060032,0.024613,0.007722,-0.010345,-0.005241,-0.000642,-0.001800,-0.053047,0.014310,0.012937,0.006282,0.085066,0.077530,0.057415,0.042903,0.028559,-0.003082,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.178795,0.148616,0.131959,0.113245,0.109350,0.103398,0.139542,0.150475,0.126994,0.079491,0.050369,0.033760,0.002654,-0.023070,-0.006428,-0.005227,-0.004220,0.005549,0.024001,0.013373,0.017506,0.080144,0.076454,0.056931,0.027419,0.024292,0.001223,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.106895,0.136824,0.134031,0.114131,0.106153,0.100648,0.140305,0.152833,0.098143,0.077765,0.036563,0.019399,0.002771,-0.031001,-0.008088,-0.022189,-0.010254,0.015435,0.009126,0.003647,0.012900,0.083046,0.074379,0.054388,0.039788,0.032346,-0.015733,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.187826,0.138759,0.130152,0.107230,0.104327,0.096494,0.140982,0.151094,0.118961,0.068763,0.033649,0.012096,-0.004575,-0.032622,-0.017216,-0.022685,-0.017302,0.004695,-0.000240,0.000414,0.011817,0.077949,0.084604,0.056825,0.031439,0.013002,-0.009586,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.183147,0.139318,0.129494,0.107322,0.104590,0.090243,0.138380,0.147137,0.111147,0.050215,0.032636,0.013976,-0.203302,-0.046499,-0.021785,-0.027102,-0.025595,-0.002591,-0.001716,-0.009909,0.007120,0.084972,0.078254,0.050848,0.029595,0.007794,-0.022210,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.186963,0.132888,0.123717,0.104930,0.104292,0.090973,0.130446,0.140015,0.102720,0.045483,0.022301,0.015388,-0.000168,-0.035577,-0.032259,-0.028576,-0.107350,-0.005537,-0.030702,-0.011814,-0.006339,0.084711,0.079636,0.045823,0.040757,0.008698,-0.036086,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.196941,0.130684,0.126210,0.103739,0.104082,0.087515,0.125871,0.139213,0.094378,0.036327,0.005887,0.002044,-0.004508,-0.045176,-0.037482,-0.039536,-0.037397,-0.010093,-0.017380,-0.009521,-0.000845,0.089776,0.082115,0.042534,0.036526,-0.264336,-0.047216,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.189872,0.127615,0.125093,0.098768,0.103299,0.086551,0.124308,0.131650,0.086414,0.028157,-0.001362,-0.003030,-0.011104,-0.054262,-0.048424,-0.038570,-0.036621,-0.018151,-0.022936,-0.046823,-0.004674,0.089464,0.079879,0.048742,0.034095,-0.011994,-0.058470,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.189034,0.133994,0.117613,0.097577,0.102357,0.089900,0.120803,0.119571,0.077452,0.022070,-0.010493,-0.006460,-0.024116,-0.052887,-0.057006,-0.058147,-0.042686,-0.031618,-0.035975,-0.026596,-0.011453,0.091563,0.044855,0.044075,0.027692,-0.007861,-0.070818,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.175828,0.130322,0.112926,0.099065,0.098228,0.088786,0.124757,0.125177,0.072157,0.015131,-0.019256,-0.011358,-0.037555,-0.064516,-0.061616,-0.052763,-0.048403,-0.036936,-0.027789,-0.037796,-0.009357,0.094009,0.078021,0.039878,0.027250,-0.090429,-0.080189,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.186571,0.129536,0.113278,0.099454,0.095574,0.087040,0.121328,0.121219,0.072119,0.004621,-0.023177,-0.030456,-0.026615,-0.053153,-0.066074,-0.071831,-0.056638,-0.034170,-0.035691,-0.035014,-0.012534,0.099136,0.078449,0.047977,0.016594,-0.056724,-0.106110,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
0.185740,0.121990,0.107552,0.096455,0.091045,0.076515,0.113575,0.121203,0.070454,-0.004461,-0.033928,-0.032717,-0.040292,-0.050073,-0.070142,-0.069524,-0.072910,-0.042193,-0.045405,-0.048500,-0.023931,0.102336,0.082940,0.042270,0.019547,-0.039186,-0.111483,widthness,JE407542-N,MLX,362-850-019,20260205,034232,362_850_019_6F9_INT_PC_JE407542-N_05022026_034232_ARCHIVE
